Time:1x17:512,End Time,Electrode:0.000000,Electrode:16.000000,Electrode:32.000000,Electrode:48.000000,Electrode:64.000000,Electrode:80.000000,Electrode:96.000000,Electrode:112.000000,Electrode:128.000000,Electrode:144.000000,Electrode:160.000000,Electrode:176.000000,Electrode:192.000000,Electrode:208.000000,Electrode:224.000000,Electrode:240.000000,Electrode:256.000000,Event Id,Event Date,Event Duration
0.8750000000,0.9375000000,4811.0000000000,436.0100913956,1298.5395788677,650.4976790220,887.4076039159,360.9202831908,136.1951248244,898.6460389835,678.3524157840,267.5734963355,146.5402786451,142.2717382268,134.0438156435,125.0110899055,100.4977453621,100.3953163765,75.0000000000,,,
0.9375000000,1.0000000000,1359.0000000000,960.7857120274,680.6071770736,771.8840238067,764.2934581996,531.3574996712,625.8092583711,1260.9230008203,807.1047020059,164.3651315305,111.8599459439,64.0953097857,98.7294776309,104.7868915191,99.7997752818,67.4823315224,69.0000000000,,,
1.0000000000,1.0625000000,1382.0000000000,1148.0838104985,645.1078063775,435.8602624434,681.1493841585,425.6813499369,220.2222447654,690.6581563161,718.3453208590,283.7514436995,139.2026098935,112.7079143347,68.3192246771,43.2288757586,36.1208313868,22.0318784815,12.0000000000,,,
1.0625000000,1.1250000000,4003.0000000000,227.1612929359,649.1211024277,307.5807829000,1022.4779785586,762.7759536221,458.2128844818,976.8062493511,719.0062586654,205.1157066652,102.8895060787,101.7913676789,47.4002464425,39.7061395031,12.3489439535,40.1458792151,11.0000000000,,,
1.1250000000,1.1875000000,2388.0000000000,1013.1837605790,1338.6558260896,380.6848151546,628.7850532419,476.9686212406,360.3831058590,820.3251653934,590.1084646063,232.0370150199,106.6543887235,73.1806591511,71.0869665947,16.2034474104,11.1998952538,24.1279767610,10.0000000000,,,
1.1875000000,1.2500000000,1319.0000000000,143.8293000624,836.5179221517,1022.8642190428,560.3370605666,70.7444740535,461.5197457796,938.6403543353,701.0235374080,146.8372825367,111.1245477508,117.5163480380,75.4345978685,31.6526475117,20.0156204410,53.3503210525,21.0000000000,,,
1.2500000000,1.3125000000,4700.0000000000,313.6183710214,1307.5430871629,776.4479876730,285.3518507718,316.2057520016,1050.3421952573,1016.5625181172,712.2359159717,311.2694351988,85.6903951308,33.8854966292,78.1685439364,47.4641640655,67.5981083834,42.4367048164,36.0000000000,,,
1.3125000000,1.3750000000,3690.0000000000,676.5278826736,267.2121554253,1360.2915306570,454.0980790336,883.9147615152,338.8962325889,949.8267839768,692.4738262202,165.7888359870,101.0105794132,86.7439235696,77.7363146668,53.3275250733,27.5657464361,50.8574385823,30.0000000000,,,
1.3750000000,1.4375000000,2704.0000000000,543.0823845300,1302.0913102136,1007.8374100003,669.0156942481,55.1605680271,190.9559238781,734.5062042360,770.4232602927,316.8062257435,188.2150120181,152.5351224360,169.2867415062,142.5026985943,131.2599110660,124.9442233068,92.0000000000,,,
1.4375000000,1.5000000000,2312.0000000000,983.1165370887,797.3993483768,884.1605502203,838.8139283117,247.3060117062,481.3249995256,696.5366283518,826.0096851732,319.6574654113,237.0800408866,210.4512986601,91.2096139139,98.0195357852,105.0789144078,123.2719926773,74.0000000000,,,
