Time:250Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
1,31,60.57559059,,,
1.004,31,52.16829555,,,
1.008,31,64.70948437,,,
1.012,31,49.90792032,,,
1.016,31,26.48669938,,,
1.02,31,32.80860246,,,
1.024,32,27.3143971,,,
1.028,32,19.29667545,,,
1.032,32,17.26425738,,,
1.036,32,13.06335469,,,
1.04,32,17.40945022,,,
1.044,32,-8.500221703,,,
1.048,32,-38.30929229,,,
1.052,32,7.824826867,,,
1.056,33,65.30488173,,,
1.06,33,74.18296137,,,
1.064,33,45.31009768,,,
1.068,33,-16.20692675,,,
1.072,33,-43.68410272,,,
1.076,33,-33.47276234,,,
1.08,33,-17.23379364,,,
1.084,33,30.84701686,,,
1.088,34,47.97362209,,,
1.092,34,13.45752898,,,
1.096,34,29.11095264,,,
1.1,34,55.6593289,,,
1.104,34,15.36407928,,,
1.108,34,-11.65090627,,,
1.112,34,-2.340112159,,,
1.116,34,7.875179991,,,
1.12,35,24.25516403,,,
1.124,35,25.71247866,,,
1.128,35,-12.7969937,,,
1.132,35,-44.1588039,,,
1.136,35,-23.18364684,,,
1.14,35,11.70682467,,,
1.144,35,30.46133825,,,
1.148,35,27.10324164,,,
1.152,36,11.28066956,,,
1.156,36,1.142497471,,,
1.16,36,19.10641348,,,
1.164,36,53.68107404,,,
1.168,36,63.9273622,,,
1.172,36,48.1364009,,,
1.176,36,26.58417718,,,
1.18,36,9.500092139,,,
1.184,37,-2.87269793,,,
1.188,37,-7.080785154,,,
1.192,37,-10.34416871,,,
1.196,37,14.79207031,,,
1.2,37,76.89986613,,,
1.204,37,110.3759309,,,
1.208,37,115.286685,,,
1.212,37,110.8807637,,,
1.216,38,76.36803861,,,
1.22,38,21.23591742,,,
1.224,38,8.242129507,,,
1.228,38,64.65322581,,,
1.232,38,103.165734,,,
1.236,38,95.68962943,,,
1.24,38,86.68859422,,,
1.244,38,71.44819886,,,
1.248,39,26.67176036,,,
1.252,39,0.018647197,,,
1.256,39,57.35959552,,,
1.26,39,88.80705011,,,
1.264,39,62.1055389,,,
1.268,39,72.89670465,,,
1.272,39,58.00486363,,,
1.276,39,-6.588005031,,,
1.28,40,-17.54006629,,,
1.284,40,14.69257898,,,
1.288,40,35.21091364,,,
1.292,40,46.22769702,,,
1.296,40,36.13260416,,,
1.3,40,17.27892199,,,
1.304,40,17.29985828,,,
1.308,40,13.14568181,,,
1.312,41,-13.78571658,,,
1.316,41,-18.03942072,,,
1.32,41,23.18788854,,,
1.324,41,59.66397438,,,
1.328,41,65.5487079,,,
1.332,41,72.52822878,,,
1.336,41,55.54416184,,,
1.34,41,-11.37746752,,,
1.344,42,-25.64470266,,,
1.348,42,35.10068128,,,
1.352,42,59.88002513,,,
1.356,42,49.36732213,,,
1.36,42,46.52842033,,,
1.364,42,28.56100809,,,
1.368,42,10.53051834,,,
1.372,42,27.96739897,,,
1.376,43,50.23877142,,,
1.38,43,47.90543865,,,
1.384,43,43.12739263,,,
1.388,43,36.1794771,,,
1.392,43,18.57001964,,,
1.396,43,-0.797542706,,,
1.4,43,-24.17005364,,,
1.404,43,-9.047887518,,,
1.408,44,9.381373686,,,
1.412,44,3.208506089,,,
1.416,44,43.45256233,,,
1.42,44,58.47573723,,,
1.424,44,39.22190382,,,
1.428,44,64.67104096,,,
1.432,44,71.89145865,,,
1.436,44,55.13098205,,,
1.44,45,62.64561796,,,
1.444,45,64.26160367,,,
1.448,45,77.26162556,,,
1.452,45,88.84518813,,,
1.456,45,67.31061109,,,
1.46,45,71.85349626,,,
1.464,45,77.06892708,,,
1.468,45,51.37309618,,,
1.472,46,70.0356201,,,
1.476,46,93.62840669,,,
1.48,46,47.42876568,,,
1.484,46,16.9162921,,,
1.488,46,21.80729422,,,
