Time:250Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
1.424,44,601.740946,1,44,,,
1.428,44,606.8940672,1,44,,,
1.432,44,576.3355146,1,44,,,
1.436,44,525.7562186,1,44,,,
1.44,45,460.5612083,1,44,,,
1.444,45,244.0920559,1,44,,,
1.448,45,261.9936411,1,44,,,
1.452,45,728.8234338,1,44,,,
1.456,45,749.2746234,1,44,,,
1.46,45,536.4863211,1,44,,,
1.464,45,686.304757,1,44,,,
1.468,45,590.3474094,1,44,,,
1.472,46,264.9070229,1,44,,,
1.476,46,399.6656461,1,44,,,
1.48,46,701.7236868,1,44,,,
1.484,46,726.0400087,1,44,,,
1.488,46,587.6664653,1,44,,,
1.492,46,303.9140292,1,44,,,
1.496,46,137.8977927,1,44,,,
1.5,46,238.4112927,1,44,,,
1.504,47,302.4693734,1,44,,,
1.508,47,447.335064,1,44,,,
1.512,47,676.3263076,1,44,,,
1.516,47,684.3382634,1,44,,,
1.52,47,604.9587174,1,44,,,
1.524,47,491.4853114,1,44,,,
1.528,47,232.2574673,1,44,,,
1.532,47,132.2417405,1,44,,,
1.536,48,309.2804576,1,44,,,
1.54,48,422.3668124,1,44,,,
1.544,48,488.9936587,1,44,,,
1.548,48,499.5454218,1,44,,,
1.552,48,365.3177381,1,44,,,
1.556,48,279.4217499,1,44,,,
1.56,48,258.1549688,1,44,,,
1.564,48,227.5348295,1,44,,,
1.568,49,306.1580387,1,44,,,
1.572,49,361.6028191,1,44,,,
1.576,49,292.1819294,1,44,,,
1.58,49,238.4784341,1,44,,,
1.584,49,142.7223055,1,44,,,
1.588,49,176.0196558,1,44,,,
1.592,49,326.8064026,1,44,,,
1.596,49,299.5193404,1,44,,,
1.6,50,221.4091697,1,44,,,
1.604,50,182.2942106,1,44,,,
1.608,50,151.7908715,1,44,,,
1.612,50,178.967641,1,44,,,
1.616,50,241.756482,1,44,,,
1.62,50,232.3625261,1,44,,,
1.624,50,206.0928718,1,44,,,
1.628,50,208.9181372,1,44,,,
1.632,51,121.9207669,1,44,,,
1.636,51,120.0807677,1,44,,,
1.64,51,217.8571622,1,44,,,
1.644,51,220.0369404,1,44,,,
1.648,51,192.0869198,1,44,,,
1.652,51,166.7386057,1,44,,,
1.656,51,151.4326864,1,44,,,
1.66,51,172.3430016,1,44,,,
1.664,52,199.2629255,1,44,,,
1.668,52,194.6392724,1,44,,,
1.672,52,119.5223132,1,44,,,
1.676,52,75.69825816,1,44,,,
1.68,52,107.0903712,1,44,,,
